DB00398,hsa-mir-425
DB00619,hsa-mir-30e
DB00317,hsa-mir-7
DB00997,hsa-mir-103
DB00997,hsa-mir-107
DB00515,hsa-mir-25
DB01229,hsa-mir-16
DB00544,hsa-mir-320
DB00526,hsa-mir-320
DB00544,hsa-mir-22
DB00515,hsa-mir-143
DB00544,hsa-mir-96
DB00853,hsa-mir-203
DB00619,hsa-mir-486
DB00675,hsa-mir-873
DB00997,hsa-mir-193a
DB00515,hsa-mir-193a
DB11616,hsa-mir-193a
DB00445,hsa-mir-193a
DB00675,hsa-mir-574
DB00997,hsa-mir-143
DB00515,hsa-mir-10a
DB00544,hsa-mir-520g
DB00526,hsa-mir-520g
DB00441,hsa-mir-223
DB04690,hsa-mir-181a
DB00997,hsa-mir-10a
DB00445,hsa-mir-27b
DB00773,hsa-mir-27b
DB00317,hsa-mir-27b
DB00398,hsa-mir-27b
DB00997,hsa-mir-301a
DB00675,hsa-mir-320a
DB01229,hsa-mir-1204
DB00987,hsa-mir-126
DB01248,hsa-mir-141
DB01229,hsa-mir-197
DB00515,hsa-mir-483
DB00773,hsa-mir-196b
DB00997,hsa-mir-218
DB01229,hsa-mir-218
DB00877,hsa-mir-218
DB00515,hsa-mir-148b
DB01229,hsa-let-7b
DB00619,hsa-mir-2278
DB00188,hsa-mir-33b
DB00515,hsa-mir-506
DB09074,hsa-mir-506
DB00541,hsa-mir-23b
DB01229,hsa-mir-200a
DB00515,hsa-mir-125a
DB00958,hsa-mir-200c
DB00515,hsa-mir-374a
DB00997,hsa-mir-522
DB04690,hsa-mir-124
DB00997,hsa-mir-124
DB00773,hsa-mir-124
DB00188,hsa-mir-101
DB00317,hsa-mir-200a
DB00675,hsa-mir-10b
DB00445,hsa-let-7a
DB00544,hsa-mir-219
DB00526,hsa-mir-219
DB00544,hsa-mir-326
DB00515,hsa-mir-326
DB00544,hsa-mir-587
DB00997,hsa-mir-497
DB00997,hsa-mir-127
DB00526,hsa-mir-218
DB00987,hsa-mir-335
DB01248,hsa-mir-139
DB00997,hsa-mir-134
DB00515,hsa-mir-873
DB01229,hsa-mir-181a
DB01229,hsa-mir-224
DB01229,hsa-mir-133b
DB00515,hsa-mir-133b
DB00515,hsa-mir-134
DB00515,hsa-mir-26a
DB00619,hsa-mir-130a
DB00997,hsa-mir-193b
DB00531,hsa-mir-200
DB00441,hsa-mir-181c
DB00544,hsa-mir-181c
DB01229,hsa-mir-181c
DB00515,hsa-mir-144
DB00515,hsa-mir-634
DB00958,hsa-mir-634
DB00997,hsa-mir-634
DB00997,hsa-mir-299
DB00515,hsa-mir-181b
DB01229,hsa-mir-186
DB00515,hsa-mir-186
DB00526,hsa-mir-107
DB01229,hsa-mir-107
DB00544,hsa-mir-107
DB00675,hsa-mir-214
DB00947,hsa-mir-214
DB00675,hsa-mir-155
DB00853,hsa-mir-16
DB01229,hsa-mir-520h
DB00997,hsa-mir-202
DB00515,hsa-mir-196a
DB01042,hsa-mir-221
DB00515,hsa-mir-7
DB00563,hsa-mir-146b
DB01229,hsa-mir-143
DB00515,hsa-mir-302b
DB01204,hsa-mir-302a
DB01204,hsa-mir-302b
DB01204,hsa-mir-302c
DB01204,hsa-mir-302d
DB00544,hsa-mir-425
DB00526,hsa-mir-425
DB00515,hsa-let-7g
DB08881,hsa-mir-34a
DB08881,hsa-mir-100
DB08881,hsa-mir-125b
DB00544,hsa-let-7
DB00188,hsa-mir-202
DB01041,hsa-mir-202
DB01234,hsa-mir-202
DB00544,hsa-mir-1914
DB00526,hsa-mir-1914
DB00997,hsa-mir-224
DB00997,hsa-mir-30a
DB01248,hsa-mir-193a
DB00361,hsa-mir-193a
DB01229,hsa-mir-100
DB00544,hsa-mir-193
DB00441,hsa-mir-125a
DB00515,hsa-mir-1182
DB00515,hsa-mir-378
DB00515,hsa-mir-509
DB00675,hsa-mir-21
DB00947,hsa-mir-21
DB00515,hsa-mir-493
DB00441,hsa-mir-101
DB00997,hsa-mir-302a
DB00997,hsa-mir-302b
DB00997,hsa-mir-302c
DB00997,hsa-mir-302d
DB01234,hsa-mir-137
DB00544,hsa-mir-450b
DB01229,hsa-mir-873
DB00515,hsa-mir-145
DB00853,hsa-mir-138
DB00675,hsa-mir-451a
DB00515,hsa-mir-194
DB00526,hsa-mir-409
DB00541,hsa-mir-1284
DB00515,hsa-mir-206
DB00515,hsa-mir-421
DB01248,hsa-mir-3646
DB00515,hsa-mir-520g
DB01229,hsa-mir-520g
DB00305,hsa-mir-31
DB00773,hsa-mir-34a
DB00563,hsa-mir-34a
DB00958,hsa-mir-34a
DB00445,hsa-mir-451
DB12257,hsa-mir-130a
DB00997,hsa-mir-708
DB00544,hsa-mir-3188
DB11616,hsa-mir-34c
DB00853,hsa-mir-487b
DB01229,hsa-mir-146a
DB00515,hsa-mir-322
DB01248,hsa-mir-363
DB00544,hsa-mir-363
DB00544,hsa-mir-139
DB00530,hsa-mir-223
DB00544,hsa-mir-874
DB01248,hsa-mir-27b
DB00997,hsa-mir-184
DB00619,hsa-mir-1301
DB00515,hsa-mir-374b
DB00526,hsa-mir-139
DB00515,hsa-mir-3163
DB00958,hsa-mir-3163
DB00541,hsa-mir-3163
DB00997,hsa-mir-3163
DB00773,hsa-mir-3163
DB00853,hsa-mir-10a
DB01229,hsa-mir-24
DB00317,hsa-mir-26a
DB01229,hsa-mir-18
DB00997,hsa-mir-205
DB00531,hsa-mir-205
DB00675,hsa-mir-27b
DB00853,hsa-mir-29c
DB00398,hsa-mir-181a
DB00997,hsa-mir-644a
DB00515,hsa-mir-644a
DB00563,hsa-mir-200c
DB08881,hsa-mir-7
DB00515,hsa-mir-770
DB00544,hsa-mir-221
DB00515,hsa-mir-30c-2
DB00619,hsa-mir-101
DB00526,hsa-mir-625
DB00997,hsa-mir-181c
DB00515,hsa-mir-33b
DB01248,hsa-mir-223
DB00441,hsa-mir-196a
DB00853,hsa-mir-370
DB00515,hsa-mir-645
DB00675,hsa-mir-18a
DB00526,hsa-mir-141
DB00619,hsa-mir-21
DB08865,hsa-mir-200c
DB00526,hsa-mir-135a
DB01248,hsa-mir-204
DB00398,hsa-mir-367
DB00317,hsa-mir-128
DB01248,hsa-mir-125a
DB01169,hsa-mir-539
DB00541,hsa-mir-139
DB00515,hsa-mir-551b
DB00515,hsa-mir-590
DB01229,hsa-mir-590
DB00441,hsa-mir-145
DB01229,hsa-mir-422a
DB00515,hsa-mir-422a
DB00441,hsa-mir-124
DB00853,hsa-mir-101
DB01229,hsa-mir-20b
DB01229,hsa-mir-129
DB01248,hsa-mir-375
DB00515,hsa-mir-301a
DB00541,hsa-mir-125a
DB00773,hsa-mir-125a
DB00997,hsa-mir-125a
DB00515,hsa-mir-595
DB00317,hsa-mir-30a
DB00530,hsa-mir-30a
DB00317,hsa-mir-124
DB00515,hsa-mir-99a
DB00515,hsa-mir-491
DB01229,hsa-mir-379
DB00997,hsa-mir-379
DB00515,hsa-mir-149
DB00515,hsa-mir-132
DB01254,hsa-mir-106a
DB00853,hsa-mir-423
DB01229,hsa-mir-424
DB00530,hsa-mir-17
DB01204,hsa-mir-494
DB00853,hsa-mir-221
DB00544,hsa-mir-503
DB00544,hsa-mir-302a
DB00188,hsa-mir-137
DB00445,hsa-mir-137
DB00515,hsa-mir-335
DB00997,hsa-mir-335
DB00773,hsa-mir-335
DB00544,hsa-mir-20b
DB00515,hsa-mir-524
DB01229,hsa-mir-136
DB01248,hsa-mir-346
DB00515,hsa-mir-193b
DB00853,hsa-mir-433
DB00441,hsa-mir-210
DB00317,hsa-mir-30e
DB00188,hsa-mir-631
DB00675,hsa-mir-335
DB00515,hsa-mir-129
DB00526,hsa-mir-137
DB00515,hsa-mir-24
DB00675,hsa-mir-205
DB00675,hsa-mir-148a
DB00675,hsa-mir-152
DB00997,hsa-mir-26a
DB01229,hsa-mir-1307
DB00398,hsa-mir-221
DB00544,hsa-mir-939
DB00515,hsa-mir-379
DB00877,hsa-mir-410
DB00997,hsa-mir-410
DB00515,hsa-mir-410
DB00544,hsa-mir-577
DB00997,hsa-mir-130b
DB00526,hsa-mir-6886
DB00544,hsa-mir-6886
DB11616,hsa-mir-6886
DB00773,hsa-mir-29b
DB11094,hsa-mir-675
DB00526,hsa-mir-506
DB00515,hsa-mir-30c
DB00853,hsa-mir-124
DB00997,hsa-mir-9
DB00515,hsa-mir-216b
DB01229,hsa-mir-195
DB00515,hsa-mir-495
DB00773,hsa-mir-495
DB00563,hsa-mir-186
DB00515,hsa-mir-488
DB00853,hsa-mir-223
DB00997,hsa-mir-140
DB00398,hsa-mir-137
DB00526,hsa-mir-216b
DB00694,hsa-mir-125a
DB00515,hsa-mir-490
DB01248,hsa-mir-145
DB00530,hsa-mir-214
DB00997,hsa-mir-495
DB01229,hsa-mir-495
DB01248,hsa-mir-638
DB00997,hsa-mir-210
DB00526,hsa-mir-503
DB00515,hsa-mir-519d
DB00853,hsa-mir-198
DB00997,hsa-mir-142
DB01248,hsa-mir-33b
DB01248,hsa-mir-34c
DB00958,hsa-mir-34c
DB00441,hsa-mir-153
DB01248,hsa-mir-181a
DB00441,hsa-mir-218
DB00544,hsa-mir-200a
DB00515,hsa-mir-1244
DB00515,hsa-mir-369
DB00619,hsa-mir-224
DB00619,hsa-let-7i
DB00619,hsa-mir-29a
DB01254,hsa-mir-660
DB00526,hsa-mir-145
DB00317,hsa-mir-17
DB00317,hsa-mir-92a
DB00317,hsa-let-7b
DB00515,hsa-mir-485
DB00441,hsa-mir-130a
DB00544,hsa-mir-196b
DB00317,hsa-mir-19a
DB00675,hsa-mir-503
DB01229,hsa-mir-503
DB00997,hsa-mir-217
DB00541,hsa-mir-101
DB00515,hsa-mir-183
DB01248,hsa-mir-455
DB00675,hsa-mir-26b
DB00441,hsa-mir-509
DB01229,hsa-mir-23b
DB00515,hsa-let-7d
DB01229,hsa-let-7d
DB00997,hsa-let-7d
DB00526,hsa-mir-340
DB00515,hsa-mir-708
DB00526,hsa-mir-21
DB00997,hsa-mir-98
DB00515,hsa-mir-106b
DB00997,hsa-mir-93
DB11672,hsa-mir-21
DB00853,hsa-mir-26b
DB00853,hsa-mir-132
DB00530,hsa-mir-23a
DB00544,hsa-mir-338
DB00526,hsa-mir-19b
DB00441,hsa-let-7a
DB00515,hsa-mir-181c
DB00773,hsa-mir-30a
DB00619,hsa-mir-7
DB00441,hsa-mir-3656
DB00853,hsa-mir-146b
DB01268,hsa-mir-144
DB00515,hsa-mir-26b
DB00997,hsa-mir-20a
DB00773,hsa-mir-20a
DB01229,hsa-mir-30e
DB00997,hsa-mir-1268b
DB01248,hsa-mir-1246
DB00445,hsa-mir-1246
DB00441,hsa-mir-429
DB00262,hsa-mir-21
DB00997,hsa-mir-381
DB00997,hsa-mir-409
DB00515,hsa-mir-105
DB01229,hsa-mir-128
DB00544,hsa-mir-761
DB11672,hsa-mir-326
DB00997,hsa-mir-16-1
DB00188,hsa-mir-324
DB08881,hsa-mir-216b
DB01248,hsa-mir-323
DB00563,hsa-mir-375
DB00853,hsa-mir-193a
DB00515,hsa-mir-5100
DB01229,hsa-mir-128a
DB00515,hsa-mir-128a
DB00997,hsa-mir-589
DB01234,hsa-mir-193a
DB08881,hsa-mir-204
DB08881,hsa-mir-211
DB00317,hsa-mir-181a
DB00317,hsa-mir-135
DB00398,hsa-mir-494
DB00997,hsa-mir-770
DB00398,hsa-mir-378a
DB00541,hsa-mir-647
DB00441,hsa-mir-200a
DB00515,hsa-mir-654
DB00544,hsa-mir-654
DB00997,hsa-mir-216a
DB00515,hsa-mir-216a
DB00773,hsa-mir-216a
DB00515,hsa-mir-30
DB00317,hsa-mir-135a
DB00515,hsa-mir-15a
DB00317,hsa-mir-1
DB00515,hsa-mir-139
DB00541,hsa-mir-20a
DB01229,hsa-mir-630
DB00853,hsa-mir-634
DB00544,hsa-mir-519b
DB00515,hsa-mir-181
DB00544,hsa-mir-623
DB00441,hsa-mir-455
DB00317,hsa-mir-630
DB00544,hsa-mir-32
DB00619,hsa-mir-202
DB00515,hsa-mir-377
DB00997,hsa-mir-574
DB00515,hsa-let-7a
DB00997,hsa-mir-132
DB00997,hsa-mir-212
DB00515,hsa-mir-630
DB00515,hsa-mir-22
DB00773,hsa-mir-192
DB00773,hsa-mir-662
DB00515,hsa-mir-18a
DB00317,hsa-mir-377
DB11616,hsa-mir-22
DB00445,hsa-mir-22
DB00441,hsa-mir-22
DB00958,hsa-let-7d
DB01248,hsa-mir-195
DB01229,hsa-mir-485
DB00515,hsa-mir-1307
DB00317,hsa-mir-124a
DB00526,hsa-mir-361
DB00317,hsa-mir-483
DB00563,hsa-mir-505
DB00515,hsa-mir-514
DB00441,hsa-mir-301a
DB01259,hsa-mir-494
DB00441,hsa-mir-29c
DB00675,hsa-mir-663b
DB00515,hsa-mir-1
DB00531,hsa-mir-129
DB00958,hsa-mir-199a
DB00853,hsa-mir-1268a
DB00619,hsa-mir-199a
DB01229,hsa-mir-29a
DB00997,hsa-mir-203
DB00441,hsa-mir-106a
DB00526,hsa-mir-195
DB00526,hsa-mir-7
DB00531,hsa-mir-148b
DB00997,hsa-mir-148b
DB00541,hsa-mir-148b
DB00635,hsa-mir-148b
DB00541,hsa-mir-652
DB00987,hsa-mir-652
DB00851,hsa-mir-31
DB00515,hsa-mir-92a
DB01030,hsa-mir-21
DB00445,hsa-mir-34a
DB00445,hsa-mir-4443
DB00398,hsa-mir-19a
DB00853,hsa-mir-299
DB01229,hsa-mir-935
DB00526,hsa-mir-135b
DB00515,hsa-mir-197
DB00515,hsa-mir-454
DB00853,hsa-mir-151a
DB00997,hsa-mir-590
DB00441,hsa-mir-129
DB00515,hsa-mir-539
DB00515,hsa-mir-1294
DB00997,hsa-mir-320a
DB01042,hsa-mir-140
DB00317,hsa-mir-873
DB01229,hsa-mir-15a
DB00305,hsa-mir-495
DB00544,hsa-mir-495
DB00526,hsa-mir-34a
DB00997,hsa-mir-422a
DB00773,hsa-mir-15a
DB00773,hsa-mir-16-1
DB00515,hsa-mir-501
DB00515,hsa-mir-328
DB00853,hsa-mir-1271
DB00515,hsa-mir-378a
DB00515,hsa-mir-1284
DB00675,hsa-mir-449a
DB00515,hsa-mir-874
DB00441,hsa-mir-1207
DB00526,hsa-mir-31
DB00997,hsa-mir-520c
DB00544,hsa-mir-130a
DB00563,hsa-mir-29a
DB00563,hsa-mir-29b
DB00563,hsa-mir-29c
DB01229,hsa-mir-134
DB00515,hsa-mir-202
DB00526,hsa-mir-122
DB00853,hsa-mir-196b
DB00531,hsa-mir-99a
DB00997,hsa-mir-99a
DB00635,hsa-mir-99a
DB00635,hsa-mir-125b
DB01248,hsa-mir-340
DB00515,hsa-mir-30b
DB00997,hsa-mir-153
DB01229,hsa-mir-383
DB01229,hsa-mir-216b
DB00317,hsa-mir-1183
DB00188,hsa-mir-497
DB00317,hsa-mir-506
DB00853,hsa-mir-7
DB00317,hsa-mir-769
DB00530,hsa-mir-124
DB00997,hsa-mir-633
DB00515,hsa-mir-633
DB00441,hsa-mir-301
DB00997,hsa-mir-7
DB00997,hsa-mir-324
DB01229,hsa-mir-1207
DB00675,hsa-mir-190
DB00441,hsa-mir-152
DB00997,hsa-mir-152
DB00877,hsa-mir-582
DB00441,hsa-mir-188
DB00188,hsa-mir-29b
DB00694,hsa-mir-9
DB12257,hsa-mir-223
DB00441,hsa-mir-30a
DB01229,hsa-mir-194
DB00441,hsa-mir-20a
DB01229,hsa-mir-34b
DB11616,hsa-mir-34b
DB00445,hsa-mir-34b
DB00515,hsa-mir-34b
DB00441,hsa-mir-663a
DB08865,hsa-mir-100
DB00997,hsa-mir-383
DB00515,hsa-mir-1236
DB00515,hsa-mir-211
DB00675,hsa-mir-130a
DB00997,hsa-mir-197
DB00317,hsa-mir-197
DB00544,hsa-mir-543
DB00515,hsa-mir-876
DB00515,hsa-mir-613
DB00451,hsa-mir-206
DB00544,hsa-mir-214
DB00515,hsa-mir-574
DB00997,hsa-mir-431
DB00648,hsa-mir-431
DB00398,hsa-mir-335
DB00515,hsa-mir-210
DB00541,hsa-mir-155
DB01229,hsa-mir-140
DB00515,hsa-mir-140
DB00853,hsa-mir-126
DB01169,hsa-mir-204
DB00515,hsa-mir-219a
DB01248,hsa-mir-27a
DB00398,hsa-mir-21
DB00853,hsa-mir-20b
DB00398,hsa-mir-613
DB00526,hsa-mir-1246
DB00526,hsa-mir-1229
DB00526,hsa-mir-96
DB00398,hsa-mir-374b
DB00317,hsa-mir-301b
DB00515,hsa-mir-301b
DB00675,hsa-mir-182
DB01268,hsa-mir-130b
DB00694,hsa-mir-33b
DB00441,hsa-mir-620
DB00541,hsa-mir-1
DB09053,hsa-mir-214
DB01229,hsa-mir-654
