DB00295,hsa-mir-128
DB00467,hsa-mir-128
DB00014,hsa-mir-128
DB00544,hsa-mir-128
DB00526,hsa-mir-128
DB00526,hsa-mir-1280
DB00544,hsa-mir-1280
DB00544,hsa-mir-1286
DB00441,hsa-mir-128a
DB00783,hsa-mir-128a
DB01169,hsa-mir-128a
DB00398,hsa-mir-1290
DB00398,hsa-mir-1291
DB00997,hsa-mir-1291
DB01204,hsa-mir-1291
DB00441,hsa-mir-129-2
DB02546,hsa-mir-129
DB00544,hsa-mir-1304
DB03843,hsa-mir-130a
DB01262,hsa-mir-130a
DB00396,hsa-mir-130a
DB00255,hsa-mir-130b
DB03843,hsa-mir-130b
DB00014,hsa-mir-130b
DB00544,hsa-mir-132
DB00441,hsa-mir-132
DB02546,hsa-mir-132
DB00295,hsa-mir-132
DB01169,hsa-mir-132
DB00710,hsa-mir-133a
DB00853,hsa-mir-133a
DB00544,hsa-mir-133a
DB00441,hsa-mir-133a-1
DB00295,hsa-mir-133b
DB01169,hsa-mir-133b
DB00169,hsa-mir-133b
DB00317,hsa-mir-134
DB00126,hsa-mir-134
DB02546,hsa-mir-134
DB00624,hsa-mir-134
DB00136,hsa-mir-134
DB00014,hsa-mir-134
DB00126,hsa-mir-135a
DB00014,hsa-mir-135a
DB00853,hsa-mir-135a
DB00136,hsa-mir-135a
DB00624,hsa-mir-135a
DB00255,hsa-mir-135a-2
DB00544,hsa-mir-135b
DB00997,hsa-mir-135b
DB03843,hsa-mir-137
DB00544,hsa-mir-137
DB00853,hsa-mir-137
DB01101,hsa-mir-137
DB00255,hsa-mir-138-1
DB00441,hsa-mir-139
DB00467,hsa-mir-139
DB00997,hsa-mir-139
DB03843,hsa-mir-140
DB00544,hsa-mir-140
DB02546,hsa-mir-140
DB01169,hsa-mir-140
DB02901,hsa-mir-141
DB00710,hsa-mir-141
DB00396,hsa-mir-141
DB01128,hsa-mir-141
DB00482,hsa-mir-141
DB00544,hsa-mir-141
DB00619,hsa-mir-142
DB01030,hsa-mir-142
DB00396,hsa-mir-142
DB00515,hsa-mir-142
DB00783,hsa-mir-143
DB00467,hsa-mir-143
DB01169,hsa-mir-143
DB01586,hsa-mir-143
DB01128,hsa-mir-143
DB01169,hsa-mir-144
DB01128,hsa-mir-144
DB08881,hsa-mir-145
DB00544,hsa-mir-145
DB00928,hsa-mir-145
DB00755,hsa-mir-145
DB01262,hsa-mir-145
DB00997,hsa-mir-145
DB00853,hsa-mir-145
DB00467,hsa-mir-146
DB00783,hsa-mir-146
DB00295,hsa-mir-1469
DB00619,hsa-mir-146a
DB00295,hsa-mir-146a
DB00184,hsa-mir-146a
DB01169,hsa-mir-146a
DB00169,hsa-mir-146a
DB00635,hsa-mir-146a
DB00255,hsa-mir-146b
DB01076,hsa-mir-146b
DB01169,hsa-mir-146b
DB00396,hsa-mir-146b
DB00544,hsa-mir-146b
DB00544,hsa-mir-147
DB01076,hsa-mir-147a
DB01234,hsa-mir-148a
DB01229,hsa-mir-148a
DB00570,hsa-mir-148a
DB01169,hsa-mir-148a
DB02901,hsa-mir-148a
DB00014,hsa-mir-148a
DB00482,hsa-mir-148a
DB03843,hsa-mir-148b
DB01169,hsa-mir-148b
DB00441,hsa-mir-149
DB01169,hsa-mir-149
DB01128,hsa-mir-149
DB00014,hsa-mir-149
DB00544,hsa-mir-149
DB00482,hsa-mir-149
DB00515,hsa-mir-150
DB01577,hsa-mir-150
DB00619,hsa-mir-150
DB00295,hsa-mir-150
DB01169,hsa-mir-150
DB02901,hsa-mir-150
DB00544,hsa-mir-151
DB03843,hsa-mir-151
DB01645,hsa-mir-151
DB00169,hsa-mir-151
DB00526,hsa-mir-151
DB00467,hsa-mir-152
DB01356,hsa-mir-152
DB00255,hsa-mir-152
DB03843,hsa-mir-152
DB00898,hsa-mir-152
DB01128,hsa-mir-152
DB00544,hsa-mir-152
DB00853,hsa-mir-153
DB01076,hsa-mir-1539
DB00441,hsa-mir-154
DB00907,hsa-mir-155
DB01356,hsa-mir-155
DB02546,hsa-mir-155
DB00441,hsa-mir-155
DB01169,hsa-mir-155
DB01262,hsa-mir-155
DB00544,hsa-mir-155
DB00853,hsa-mir-155
DB00668,hsa-mir-155
DB00295,hsa-mir-155
DB08844,hsa-mir-155
DB01611,hsa-mir-155
DB00136,hsa-mir-15a
DB00755,hsa-mir-15a
DB00255,hsa-mir-15a
DB03843,hsa-mir-15a
DB00544,hsa-mir-15a
DB00188,hsa-mir-15a
DB01262,hsa-mir-15a
DB01042,hsa-mir-15a
DB00480,hsa-mir-15a
DB00755,hsa-mir-15b
DB00255,hsa-mir-15b
DB00773,hsa-mir-15b
DB00544,hsa-mir-15b
DB03843,hsa-mir-15b
DB00783,hsa-mir-15b
DB00169,hsa-mir-15b
DB00295,hsa-mir-15b
DB00898,hsa-mir-15b
DB00515,hsa-mir-16
DB01262,hsa-mir-16
DB00755,hsa-mir-16
DB00184,hsa-mir-16
DB03843,hsa-mir-16
DB00467,hsa-mir-16
DB00544,hsa-mir-16
DB01169,hsa-mir-16
DB00188,hsa-mir-16
DB01042,hsa-mir-16
DB00295,hsa-mir-16
DB00441,hsa-mir-16-1
DB00255,hsa-mir-16-1
DB00544,hsa-mir-17
DB00928,hsa-mir-17
DB01169,hsa-mir-17
DB01262,hsa-mir-17
DB01128,hsa-mir-17
DB02546,hsa-mir-17
DB03843,hsa-mir-17
DB00515,hsa-mir-17
DB00783,hsa-mir-17
DB00603,hsa-mir-17
DB00255,hsa-mir-17
DB00755,hsa-mir-181
DB00515,hsa-mir-181a
DB00997,hsa-mir-181a
DB00441,hsa-mir-181a
DB00907,hsa-mir-181a
DB03843,hsa-mir-181a
DB00467,hsa-mir-181a
DB01169,hsa-mir-181a
DB01262,hsa-mir-181a
DB04224,hsa-mir-181a
DB00755,hsa-mir-181b
DB00997,hsa-mir-181b
DB00441,hsa-mir-181b
DB00295,hsa-mir-181b
DB03843,hsa-mir-181b
DB00467,hsa-mir-181b
DB01169,hsa-mir-181b
DB00853,hsa-mir-181b
DB00482,hsa-mir-181b
DB00136,hsa-mir-181c
DB01169,hsa-mir-181c
DB00313,hsa-mir-181c
DB00255,hsa-mir-181d
DB03843,hsa-mir-181d
DB01169,hsa-mir-181d
DB01262,hsa-mir-181d
DB01586,hsa-mir-181d
DB01076,hsa-mir-182
DB00515,hsa-mir-182
DB00544,hsa-mir-182
DB01262,hsa-mir-182
DB02546,hsa-mir-182
DB03843,hsa-mir-182
DB00898,hsa-mir-182
DB00526,hsa-mir-1826
DB00295,hsa-mir-1826
DB01076,hsa-mir-1827
DB02546,hsa-mir-183
DB01169,hsa-mir-183
DB00898,hsa-mir-183
DB00997,hsa-mir-183
DB00544,hsa-mir-183
DB01169,hsa-mir-184
DB00544,hsa-mir-184
DB00515,hsa-mir-185
DB00526,hsa-mir-185
DB03843,hsa-mir-185
DB00544,hsa-mir-185
DB00441,hsa-mir-186
DB03843,hsa-mir-186
DB00441,hsa-mir-187
DB03843,hsa-mir-189
DB00710,hsa-mir-18a
DB03843,hsa-mir-18a
DB00928,hsa-mir-18a
DB01151,hsa-mir-18a
DB00333,hsa-mir-18a
DB00422,hsa-mir-18a
DB01169,hsa-mir-18a
DB00544,hsa-mir-18a
DB00467,hsa-mir-18a
DB00467,hsa-mir-190
DB00544,hsa-mir-190
DB01076,hsa-mir-190b
DB01262,hsa-mir-191
DB00544,hsa-mir-191
DB00526,hsa-mir-191
DB01169,hsa-mir-191
DB00169,hsa-mir-191
DB00295,hsa-mir-191
DB00544,hsa-mir-1910
DB00544,hsa-mir-1912
DB00126,hsa-mir-1915
DB00544,hsa-mir-1915
DB00136,hsa-mir-1915
DB00624,hsa-mir-1915
DB00783,hsa-mir-1915
DB00295,hsa-mir-1915
DB03843,hsa-mir-192
DB00331,hsa-mir-192
DB00515,hsa-mir-192
DB01262,hsa-mir-193a
DB00467,hsa-mir-193a
DB00398,hsa-mir-193a
DB00480,hsa-mir-193a
DB02901,hsa-mir-193a
DB01169,hsa-mir-193a
DB00467,hsa-mir-193b
DB01169,hsa-mir-193b
DB01262,hsa-mir-193b
DB00396,hsa-mir-193b
DB02546,hsa-mir-193b
DB00853,hsa-mir-193b
DB00255,hsa-mir-194
DB02901,hsa-mir-194
DB03843,hsa-mir-194
DB00544,hsa-mir-194
DB00398,hsa-mir-194
DB00441,hsa-mir-194-1
DB01076,hsa-mir-194
DB00255,hsa-mir-195
DB00544,hsa-mir-195
DB00853,hsa-mir-195
DB00482,hsa-mir-195
DB08624,hsa-mir-195a
DB00255,hsa-mir-196a
DB01169,hsa-mir-196a
DB00480,hsa-mir-196b
DB00441,hsa-mir-197
DB02546,hsa-mir-197
DB00544,hsa-mir-197
DB00526,hsa-mir-197
DB00126,hsa-mir-197
DB00126,hsa-mir-1972
DB00126,hsa-mir-1973
DB00467,hsa-mir-199a
DB00441,hsa-mir-199a-2
DB01169,hsa-mir-199a
DB00898,hsa-mir-199a
DB00997,hsa-mir-199a
DB00544,hsa-mir-199a
DB00515,hsa-mir-199a
DB00467,hsa-mir-199b
DB00619,hsa-mir-199b
